0.900000E-02  0.103985E+00  0.161378E-08  0.296702E+01
0.190000E-01  0.103932E+00  0.320524E-07  0.296702E+01
0.290000E-01  0.103841E+00  0.173937E-06  0.296702E+01
0.390000E-01  0.103712E+00  0.568841E-06  0.296702E+01
0.490000E-01  0.103546E+00  0.141720E-05  0.296702E+01
0.590000E-01  0.103343E+00  0.297816E-05  0.296702E+01
0.690000E-01  0.103102E+00  0.556942E-05  0.296702E+01
0.790000E-01  0.102824E+00  0.956703E-05  0.296702E+01
0.890000E-01  0.102509E+00  0.154051E-04  0.296702E+01
0.990000E-01  0.102158E+00  0.235754E-04  0.296702E+01
0.109000E+00  0.101771E+00  0.346275E-04  0.296702E+01
0.119000E+00  0.101347E+00  0.491676E-04  0.296702E+01
0.129000E+00  0.100889E+00  0.678588E-04  0.296702E+01
0.139000E+00  0.100395E+00  0.914206E-04  0.296702E+01
0.149000E+00  0.998668E-01  0.120628E-03  0.296702E+01
0.159000E+00  0.993045E-01  0.156311E-03  0.296702E+01
0.169000E+00  0.987085E-01  0.199354E-03  0.296702E+01
0.179000E+00  0.980796E-01  0.250697E-03  0.296702E+01
0.189000E+00  0.974182E-01  0.311332E-03  0.296702E+01
0.199000E+00  0.967251E-01  0.382303E-03  0.296702E+01
0.209000E+00  0.960008E-01  0.464709E-03  0.296702E+01
0.219000E+00  0.952460E-01  0.559697E-03  0.296702E+01
0.229000E+00  0.944614E-01  0.668467E-03  0.296702E+01
0.239000E+00  0.936478E-01  0.792266E-03  0.296702E+01
0.249000E+00  0.928060E-01  0.932394E-03  0.296702E+01
0.259000E+00  0.919368E-01  0.109019E-02  0.296702E+01
0.269000E+00  0.910410E-01  0.126706E-02  0.296702E+01
0.279000E+00  0.901195E-01  0.146443E-02  0.296702E+01
0.289000E+00  0.891732E-01  0.168379E-02  0.296702E+01
0.299000E+00  0.882030E-01  0.192667E-02  0.296702E+01
0.309000E+00  0.872098E-01  0.219463E-02  0.296702E+01
0.319000E+00  0.861948E-01  0.248930E-02  0.296702E+01
0.329000E+00  0.851588E-01  0.281233E-02  0.296702E+01
0.339000E+00  0.841030E-01  0.316540E-02  0.296702E+01
0.349000E+00  0.830285E-01  0.355027E-02  0.296702E+01
0.359000E+00  0.819362E-01  0.396868E-02  0.296702E+01
0.369000E+00  0.808274E-01  0.442247E-02  0.296702E+01
0.379000E+00  0.797033E-01  0.491346E-02  0.296702E+01
0.389000E+00  0.785649E-01  0.544353E-02  0.296702E+01
0.399000E+00  0.774136E-01  0.601461E-02  0.296702E+01
0.409000E+00  0.762506E-01  0.662861E-02  0.296702E+01
0.419000E+00  0.750771E-01  0.728753E-02  0.296702E+01
0.429000E+00  0.738944E-01  0.799336E-02  0.296702E+01
0.439000E+00  0.727039E-01  0.874812E-02  0.296702E+01
0.449000E+00  0.715069E-01  0.955388E-02  0.296702E+01
0.459000E+00  0.703048E-01  0.104127E-01  0.296702E+01
0.469000E+00  0.690989E-01  0.113267E-01  0.296702E+01
0.479000E+00  0.678908E-01  0.122981E-01  0.296702E+01
0.489000E+00  0.666817E-01  0.133288E-01  0.296702E+01
0.499000E+00  0.654733E-01  0.144212E-01  0.296702E+01
0.509000E+00  0.642668E-01  0.155774E-01  0.296702E+01
0.519000E+00  0.630640E-01  0.167996E-01  0.296702E+01
0.529000E+00  0.618663E-01  0.180901E-01  0.296702E+01
0.539000E+00  0.606752E-01  0.194510E-01  0.296702E+01
0.549000E+00  0.594924E-01  0.208846E-01  0.296702E+01
0.559000E+00  0.583193E-01  0.223931E-01  0.296702E+01
0.569000E+00  0.571578E-01  0.239789E-01  0.296702E+01
0.579000E+00  0.560092E-01  0.256441E-01  0.296702E+01
0.589000E+00  0.548754E-01  0.273912E-01  0.296702E+01
0.599000E+00  0.537579E-01  0.292223E-01  0.296702E+01
0.609000E+00  0.526585E-01  0.311397E-01  0.296702E+01
0.619000E+00  0.515788E-01  0.331458E-01  0.296702E+01
0.629000E+00  0.505205E-01  0.352428E-01  0.296702E+01
0.639000E+00  0.494856E-01  0.374331E-01  0.296702E+01
0.649000E+00  0.484754E-01  0.397189E-01  0.296702E+01
0.659000E+00  0.474920E-01  0.421024E-01  0.296702E+01
0.669000E+00  0.465371E-01  0.445861E-01  0.296702E+01
0.679000E+00  0.456124E-01  0.471721E-01  0.296702E+01
0.689000E+00  0.447199E-01  0.498628E-01  0.296702E+01
0.699000E+00  0.438611E-01  0.526603E-01  0.296702E+01
0.709000E+00  0.430381E-01  0.555670E-01  0.296702E+01
0.719000E+00  0.422527E-01  0.585851E-01  0.296702E+01
0.729000E+00  0.415066E-01  0.617168E-01  0.296702E+01
0.739000E+00  0.408018E-01  0.649643E-01  0.296702E+01
0.749000E+00  0.401401E-01  0.683298E-01  0.296702E+01
0.759000E+00  0.395234E-01  0.718155E-01  0.296702E+01
0.769000E+00  0.389538E-01  0.754236E-01  0.296702E+01
0.779000E+00  0.384327E-01  0.791562E-01  0.296702E+01
0.789000E+00  0.379624E-01  0.830154E-01  0.296702E+01
0.799000E+00  0.375448E-01  0.870034E-01  0.296702E+01
0.809000E+00  0.371815E-01  0.911221E-01  0.296702E+01
0.819000E+00  0.368748E-01  0.953737E-01  0.296702E+01
0.829000E+00  0.366264E-01  0.997602E-01  0.296702E+01
0.839000E+00  0.364384E-01  0.104284E+00  0.296702E+01
0.849000E+00  0.363126E-01  0.108946E+00  0.296702E+01
0.859000E+00  0.362510E-01  0.113749E+00  0.296702E+01
0.869000E+00  0.362553E-01  0.118695E+00  0.296702E+01
